Borough,Borough/Citywide Office (B/CO),District,DBN,school_name_x,School Category,Program,Language,General/Special Education,school_name_y,Year,Total Enrollment,Grade 3K+PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index,math_score,fl_score,history_score,science_score,english_score
Brooklyn,Brooklyn North,14,14K050,J.H.S. 050 John D. Wells,Junior High-Intermediate-Middle,Dual Language,Spanish,General Education,J.H.S. 050 John D. Wells,2019-20,326,0,0,0,0,0,0,0,100,111,115,0,0,0,0,146,0.44799999999999995,180,0.552,5,0.015,74,0.22699999999999998,237,0.727,6,0.018000000000000002,4,0.012,99,0.304,43,0.132,303,92.9%,87.7,57.3,,,75.9,
Brooklyn,Brooklyn North,14,14K318,I.S. 318 Eugenio Maria De Hostos,Junior High-Intermediate-Middle,Dual Language,French,General Education,I.S. 318 Eugenio Maria De Hostos,2019-20,1267,0,0,0,0,0,0,0,435,434,398,0,0,0,0,647,0.511,620,0.489,95,0.075,216,0.17,674,0.532,20,0.016,262,0.207,235,0.185,61,0.048,812,64.1%,69.9,79.6,,79.44,81.74,
Brooklyn,Brooklyn North,15,15K088,J.H.S. 088 Peter Rouget,Junior High-Intermediate-Middle,Dual Language,Spanish,General Education,J.H.S. 088 Peter Rouget,2019-20,1418,0,0,0,0,0,0,0,482,522,414,0,0,0,0,658,0.46399999999999997,760,0.536,287,0.20199999999999999,186,0.131,712,0.502,32,0.023,201,0.142,326,0.23,169,0.11900000000000001,1022,72.1%,73.8,80.46000000000001,,82.7,82.5,84.35
Brooklyn,Brooklyn North,15,15K136,I.S. 136 Charles O. Dewey,Junior High-Intermediate-Middle,Dual Language,French,General Education,I.S. 136 Charles O. Dewey,2019-20,509,0,0,0,0,0,0,0,147,184,178,0,0,0,0,264,0.519,245,0.48100000000000004,51,0.1,23,0.045,400,0.7859999999999999,4,0.008,31,0.061,127,0.25,182,0.358,479,94.1%,88.9,70.75999999999999,,,77.38,
Brooklyn,Brooklyn North,15,15K136,I.S. 136 Charles O. Dewey,Junior High-Intermediate-Middle,Dual Language,Spanish,General Education,I.S. 136 Charles O. Dewey,2019-20,509,0,0,0,0,0,0,0,147,184,178,0,0,0,0,264,0.519,245,0.48100000000000004,51,0.1,23,0.045,400,0.7859999999999999,4,0.008,31,0.061,127,0.25,182,0.358,479,94.1%,88.9,70.75999999999999,,,77.38,
Brooklyn,Brooklyn North,15,15K136,I.S. 136 Charles O. Dewey,Junior High-Intermediate-Middle,Dual Language,Spanish,Special Education,I.S. 136 Charles O. Dewey,2019-20,509,0,0,0,0,0,0,0,147,184,178,0,0,0,0,264,0.519,245,0.48100000000000004,51,0.1,23,0.045,400,0.7859999999999999,4,0.008,31,0.061,127,0.25,182,0.358,479,94.1%,88.9,70.75999999999999,,,77.38,
Brooklyn,Brooklyn North,15,15K497,The Boerum Hill School for International Studies,Secondary School,Dual Language,French,General Education,The Boerum Hill School for International Studies,2019-20,812,0,0,0,0,0,0,0,170,159,155,105,108,53,62,408,0.502,404,0.498,32,0.039,216,0.266,181,0.223,61,0.075,322,0.397,157,0.193,53,0.065,368,45.3%,47.8,54.1388888888889,75.03333333333332,60.540000000000006,55.86,60.52857142857143
Brooklyn,Brooklyn North,15,15K667,Sunset Park High School,High school,Dual Language,Spanish,General Education,Sunset Park High School,2019-20,1239,0,0,0,0,0,0,0,0,0,0,361,321,287,270,573,0.462,666,0.5379999999999999,139,0.11199999999999999,86,0.069,901,0.727,13,0.01,100,0.081,225,0.182,253,0.204,1053,85.0%,88.1,57.52105263157894,80.56,66.77000000000001,61.42727272727273,67.32857142857144
Brooklyn,Brooklyn North,15,15K667,Sunset Park High School,High school,Dual Language,Spanish,Special Education,Sunset Park High School,2019-20,1239,0,0,0,0,0,0,0,0,0,0,361,321,287,270,573,0.462,666,0.5379999999999999,139,0.11199999999999999,86,0.069,901,0.727,13,0.01,100,0.081,225,0.182,253,0.204,1053,85.0%,88.1,57.52105263157894,80.56,66.77000000000001,61.42727272727273,67.32857142857144
Brooklyn,Brooklyn South,17,17K189,P.S. 189 The Bilingual Center,K-8,Dual Language,Spanish,General Education,P.S. 189 The Bilingual Center,2019-20,1000,0,89,104,89,108,115,115,141,123,116,0,0,0,0,507,0.507,493,0.493,24,0.024,710,0.71,231,0.231,12,0.012,23,0.023,150,0.15,154,0.154,891,89.1%,82.8,78.52000000000001,,,85.06,83.66
