Borough,Borough/Citywide Office (B/CO),District,DBN,school_name_x,School Category,Program,Language,General/Special Education,school_name_y,Year,Total Enrollment,Grade 3K+PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
Queens,Queens North,25,25Q163,P.S. 163 Flushing Heights,Elementary,Dual Language,Chinese,General Education,P.S. 163 Flushing Heights,2019-20,807,70,119,126,132,128,121,111,0,0,0,0,0,0,0,369,0.457,438,0.5429999999999999,652,0.8079999999999999,11,0.013999999999999999,120,0.149,14,0.017,10,0.012,102,0.126,308,0.382,645,79.9%,69.0%
Queens,Queens North,25,25Q189,J.H.S. 189 Daniel Carter Beard,Junior High-Intermediate-Middle,Dual Language,Chinese,General Education,J.H.S. 189 Daniel Carter Beard,2019-20,735,0,0,0,0,0,0,0,236,240,259,0,0,0,0,365,0.49700000000000005,370,0.503,463,0.63,23,0.031,233,0.317,3,0.004,13,0.018000000000000002,136,0.185,162,0.22,625,85.0%,80.8%
Queens,Queens North,26,26Q162,P.S. 162 John Golden,Elementary,Dual Language,Chinese,General Education,P.S. 162 John Golden,2019-20,649,18,98,98,99,111,99,126,0,0,0,0,0,0,0,305,0.47,344,0.53,475,0.732,11,0.017,63,0.09699999999999999,18,0.027999999999999997,82,0.126,102,0.157,161,0.248,379,58.4%,48.0%
Queens,Queens North,26,26Q173,P.S. 173 Fresh Meadows,Elementary,Dual Language,Chinese,General Education,P.S. 173 Fresh Meadows,2019-20,956,36,152,149,141,147,169,162,0,0,0,0,0,0,0,455,0.47600000000000003,501,0.524,580,0.607,17,0.018000000000000002,105,0.11,18,0.019,236,0.247,141,0.147,88,0.092,531,55.5%,50.6%
Queens,Queens South,27,27Q137,M.S. 137 America's School of Heroes,Junior High-Intermediate-Middle,Dual Language,Spanish,General Education,M.S. 137 America's School of Heroes,2019-20,1958,0,0,0,0,0,0,0,665,669,624,0,0,0,0,925,0.47200000000000003,1033,0.528,1048,0.535,84,0.043,726,0.371,38,0.019,62,0.032,303,0.155,174,0.08900000000000001,1622,82.8%,70.9%
Queens,Queens South,27,27Q197,P.S. 197 The Ocean School,Elementary,Dual Language,Spanish,General Education,P.S. 197 The Ocean School,2019-20,519,89,67,78,67,67,56,95,0,0,0,0,0,0,0,225,0.434,294,0.5660000000000001,6,0.012,229,0.441,259,0.499,10,0.019,15,0.028999999999999998,107,0.20600000000000002,93,0.179,453,87.3%,84.3%
Queens,Queens South,27,27Q253,P.S. 253,Elementary,Dual Language,Spanish,Special Education,P.S. 253,2019-20,548,45,74,80,85,73,95,96,0,0,0,0,0,0,0,285,0.52,263,0.48,22,0.04,131,0.239,375,0.684,12,0.022000000000000002,8,0.015,135,0.24600000000000002,173,0.316,Above 95%,Above 95%,90.0%
Queens,Queens South,28,28Q082,P.S. 082 Hammond,Elementary,Dual Language,Spanish,General Education,P.S. 082 Hammond,2019-20,612,0,90,101,108,106,103,104,0,0,0,0,0,0,0,300,0.49,312,0.51,144,0.235,32,0.052000000000000005,407,0.665,20,0.033,9,0.015,106,0.17300000000000001,199,0.325,490,80.1%,85.2%
Queens,Queens South,28,28Q086,P.S. Q086,Elementary,Dual Language,Spanish,General Education,P.S. Q086,2019-20,774,36,131,123,112,108,112,152,0,0,0,0,0,0,0,373,0.48200000000000004,401,0.518,437,0.565,44,0.057,248,0.32,27,0.035,18,0.023,104,0.134,216,0.27899999999999997,612,79.1%,82.4%
Queens,Queens South,28,28Q440,Forest Hills High School,High school,Dual Language,Spanish,General Education,Forest Hills High School,2019-20,3705,0,0,0,0,0,0,0,0,0,0,1028,916,906,855,1883,0.508,1822,0.49200000000000005,898,0.242,246,0.066,1359,0.36700000000000005,134,0.036000000000000004,1068,0.28800000000000003,626,0.16899999999999998,334,0.09,2787,75.2%,60.9%
