Borough,Borough/Citywide Office (B/CO),District,DBN,school_name_x,School Category,Program,Language,General/Special Education,school_name_y,Year,Total Enrollment,Grade 3K+PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index,mostCommonEthnicGroup,language_number
Brooklyn,Brooklyn South,20,20K505,Franklin Delano Roosevelt High School,High school,Transitional Bilingual Education,Chinese,General Education,Franklin Delano Roosevelt High School,2019-20,3300,0,0,0,0,0,0,0,0,0,0,976,1042,582,700,1356,0.41100000000000003,1944,0.589,1203,0.365,334,0.10099999999999999,1192,0.361,39,0.012,532,0.161,499,0.151,947,0.287,2650,80.3%,86.6%,0.365,2
Brooklyn,Brooklyn South,20,20K506,P.S. 506: The School of Journalism & Technology,Elementary,Transitional Bilingual Education,Chinese,General Education,P.S. 506: The School of Journalism & Technology,2019-20,737,0,102,108,132,138,131,126,0,0,0,0,0,0,0,369,0.501,368,0.499,213,0.289,7,0.009000000000000001,486,0.659,4,0.005,27,0.037000000000000005,171,0.23199999999999998,219,0.297,698,94.7%,92.3%,0.659,2
Brooklyn,Brooklyn South,21,21K101,P.S. 101 The Verrazano,Elementary,Dual Language,Chinese,General Education,P.S. 101 The Verrazano,2019-20,927,0,161,151,155,151,153,156,0,0,0,0,0,0,0,429,0.46299999999999997,498,0.537,489,0.528,11,0.012,138,0.149,13,0.013999999999999999,276,0.298,230,0.248,220,0.237,615,66.3%,69.1%,0.528,2
Brooklyn,Brooklyn South,21,21K228,I.S. 228 David A. Boody,Junior High-Intermediate-Middle,Dual Language,Chinese,General Education,I.S. 228 David A. Boody,2019-20,1498,0,0,0,0,0,0,0,503,514,481,0,0,0,0,685,0.457,813,0.5429999999999999,452,0.302,72,0.048,335,0.22399999999999998,16,0.011000000000000001,623,0.41600000000000004,218,0.146,185,0.12300000000000001,1144,76.4%,70.8%,0.41600000000000004,2
Brooklyn,Brooklyn South,21,21K281,I.S. 281 Joseph B Cavallaro,Junior High-Intermediate-Middle,Dual Language,Chinese,General Education,I.S. 281 Joseph B Cavallaro,2019-20,1259,0,0,0,0,0,0,0,408,413,438,0,0,0,0,603,0.479,656,0.521,517,0.41100000000000003,83,0.066,297,0.23600000000000002,8,0.006,354,0.281,232,0.184,215,0.171,1050,83.4%,77.4%,0.41100000000000003,2
Brooklyn,Brooklyn South,21,21K525,Edward R. Murrow High School,High school,Transitional Bilingual Education,Chinese,General Education,Edward R. Murrow High School,2019-20,3560,0,0,0,0,0,0,0,0,0,0,1062,1016,705,777,2029,0.57,1531,0.43,955,0.268,706,0.198,673,0.18899999999999997,163,0.046,1063,0.299,663,0.18600000000000003,312,0.08800000000000001,2310,64.9%,65.8%,0.299,2
Brooklyn,Brooklyn South,21,21K540,John Dewey High School,High school,Transitional Bilingual Education,Chinese,General Education,John Dewey High School,2019-20,2199,0,0,0,0,0,0,0,0,0,0,614,582,498,505,1117,0.508,1082,0.49200000000000005,640,0.29100000000000004,644,0.293,552,0.251,39,0.018000000000000002,324,0.147,291,0.132,397,0.18100000000000002,1791,81.4%,82.3%,0.293,2
Queens,Queens North,24,24Q007,P.S. 007 Louis F. Simeone,Elementary,Dual Language,Chinese,General Education,P.S. 007 Louis F. Simeone,2019-20,1342,51,223,204,227,208,220,209,0,0,0,0,0,0,0,654,0.48700000000000004,688,0.513,839,0.625,8,0.006,435,0.324,13,0.01,47,0.035,180,0.134,513,0.382,1115,83.1%,76.7%,0.625,2
Queens,Queens North,24,24Q013,P.S. 013 Clement C. Moore,Elementary,Dual Language,Chinese,General Education,P.S. 013 Clement C. Moore,2019-20,1391,0,220,222,225,247,245,232,0,0,0,0,0,0,0,718,0.516,673,0.484,411,0.295,111,0.08,784,0.564,17,0.012,68,0.049,205,0.147,385,0.27699999999999997,1065,76.6%,79.4%,0.564,2
Queens,Queens North,24,24Q102,P.S. 102 Bayview,K-8,Dual Language,Chinese,General Education,P.S. 102 Bayview,2019-20,1279,36,121,136,130,126,126,156,161,143,144,0,0,0,0,620,0.485,659,0.515,777,0.608,39,0.03,408,0.319,18,0.013999999999999999,37,0.028999999999999998,166,0.13,188,0.147,1042,81.5%,72.7%,0.608,2
Queens,Queens North,25,25Q020,P.S. 020 John Bowne,Elementary,Dual Language,Chinese,General Education,P.S. 020 John Bowne,2019-20,1190,96,174,163,210,201,169,177,0,0,0,0,0,0,0,576,0.484,614,0.516,851,0.715,44,0.037000000000000005,254,0.213,10,0.008,31,0.026000000000000002,160,0.134,385,0.324,1071,90.0%,82.6%,0.715,2
Queens,Queens North,25,25Q020,P.S. 020 John Bowne,Elementary,Transitional Bilingual Education,Chinese,General Education,P.S. 020 John Bowne,2019-20,1190,96,174,163,210,201,169,177,0,0,0,0,0,0,0,576,0.484,614,0.516,851,0.715,44,0.037000000000000005,254,0.213,10,0.008,31,0.026000000000000002,160,0.134,385,0.324,1071,90.0%,82.6%,0.715,2
Queens,Queens North,25,25Q021,P.S. 021 Edward Hart,Elementary,Dual Language,Chinese,General Education,P.S. 021 Edward Hart,2019-20,1332,89,199,188,202,215,200,239,0,0,0,0,0,0,0,665,0.499,667,0.501,829,0.622,16,0.012,400,0.3,21,0.016,66,0.05,162,0.122,310,0.233,1010,75.8%,69.2%,0.622,2
Queens,Queens North,25,25Q022,P.S. 022 Thomas Jefferson,Elementary,Transitional Bilingual Education,Chinese,General Education,P.S. 022 Thomas Jefferson,2019-20,864,18,139,139,152,135,144,137,0,0,0,0,0,0,0,416,0.48100000000000004,448,0.519,514,0.595,13,0.015,303,0.35100000000000003,15,0.017,19,0.022000000000000002,108,0.125,372,0.431,758,87.7%,78.6%,0.595,2
Queens,Queens North,25,25Q024,P.S. 024 Andrew Jackson,Elementary,Transitional Bilingual Education,Chinese,General Education,P.S. 024 Andrew Jackson,2019-20,1085,54,154,172,165,160,187,193,0,0,0,0,0,0,0,506,0.466,579,0.534,921,0.8490000000000001,14,0.013000000000000001,124,0.114,16,0.015,10,0.009000000000000001,125,0.115,385,0.355,772,71.2%,74.6%,0.8490000000000001,2
Queens,Queens North,25,25Q107,P.S. 107 Thomas A Dooley,Elementary,Transitional Bilingual Education,Chinese,General Education,P.S. 107 Thomas A Dooley,2019-20,936,72,168,138,153,132,140,133,0,0,0,0,0,0,0,443,0.473,493,0.527,496,0.53,14,0.015,325,0.34700000000000003,11,0.012,90,0.096,142,0.152,236,0.252,695,74.3%,64.3%,0.53,2
Queens,Queens North,25,25Q107,P.S. 107 Thomas A Dooley,Elementary,Transitional Bilingual Education,Chinese,Special Education,P.S. 107 Thomas A Dooley,2019-20,936,72,168,138,153,132,140,133,0,0,0,0,0,0,0,443,0.473,493,0.527,496,0.53,14,0.015,325,0.34700000000000003,11,0.012,90,0.096,142,0.152,236,0.252,695,74.3%,64.3%,0.53,2
Queens,Queens North,25,25Q120,P.S. 120 Queens,Elementary,Transitional Bilingual Education,Chinese,General Education,P.S. 120 Queens,2019-20,913,54,124,136,144,138,145,172,0,0,0,0,0,0,0,455,0.498,458,0.502,740,0.8109999999999999,5,0.005,152,0.166,5,0.005,11,0.012,119,0.13,325,0.35600000000000004,681,74.6%,78.0%,0.8109999999999999,2
